"country","year","KEI_Index","prediction(KEI_Index)"
"Algeria",1995,,3.6649653038969787
"Algeria",1996,,3.2143816582365514
"Algeria",1997,,3.5349395448657046
"Algeria",1998,,2.755323553907774
"Algeria",1999,,3.7036373214540443
"Algeria",2000,2.85,2.9013996113344604
"Algeria",2001,,3.402700685745305
"Algeria",2002,,3.5126842770649587
"Algeria",2003,,3.42203844391373
"Algeria",2004,,3.515862905000983
"Algeria",2005,,3.5028639418809346
"Algeria",2006,,3.4941224853243638
"Algeria",2007,3.07,3.2970419952036
"Algeria",2008,3.25,3.278423555197374
"Algeria",2009,,3.490147246085447
"Algeria",2010,,3.5341021214768693
"Algeria",2011,,3.5725279099314777
"Algeria",2012,3.79,3.4504174991372207
"Algeria",2013,,3.45262461381025
"Algeria",2014,,3.2892356845886526
"Algeria",2015,,3.4294552036407833
"Algeria",2016,,3.6662669603014875
"Algeria",2017,,3.660436792356286
"Angola",1995,,1.8293438017267718
"Angola",1996,,0.9139887971578395
"Angola",1997,,1.5984092227432605
"Angola",1998,,0.5032638849671578
"Angola",1999,,0.8364418383676502
"Angola",2000,,0.38968808684815226
"Angola",2001,,1.5550809178323597
"Angola",2002,,0.6102604108108887
"Angola",2003,,0.9513413641610797
"Angola",2004,,0.7498486607259962
"Angola",2005,,0.738791906590583
"Angola",2006,,1.0242763374295487
"Angola",2007,1.49,1.4358203857362057
"Angola",2008,1.7,1.0991293703408314
"Angola",2009,,1.1244995962548079
"Angola",2010,,1.100036009028873
"Angola",2011,,1.0779178116115236
"Angola",2012,1.08,1.298454567234101
"Angola",2013,,1.375556121619296
"Angola",2014,,1.471717775590252
"Angola",2015,,1.549782479841153
"Angola",2016,,1.3502783614018838
"Angola",2017,,1.2669274465713158
"Benin",1995,,1.5926934427072554
"Benin",1996,,1.5751634944477226
"Benin",1997,,2.163793405213684
"Benin",1998,,2.4473375729367266
"Benin",1999,,2.0758649753413994
"Benin",2000,2.39,2.105575970057574
"Benin",2001,,2.231740727653534
"Benin",2002,,1.9995194046587053
"Benin",2003,,1.8827541856906742
"Benin",2004,,1.7574316120826952
"Benin",2005,,1.611852474590144
"Benin",2006,,1.8283592091511198
"Benin",2007,1.62,2.0878625617057462
"Benin",2008,2.1,1.9637647372100782
"Benin",2009,,2.033125264074169
"Benin",2010,,1.9064304374018657
"Benin",2011,,1.8257934998052772
"Benin",2012,1.88,1.9045530950381941
"Benin",2013,,1.8847958939895495
"Benin",2014,,1.8420211644296143
"Benin",2015,,1.8802682864266278
"Benin",2016,,1.8035224599839563
"Benin",2017,,1.830863112858275
"Botswa",1995,,3.739685024339756
"Botswa",1996,,4.476522264102354
"Botswa",1997,,2.5383043655009963
"Botswa",1998,,4.905386832343772
"Botswa",1999,,4.377779909311838
"Botswa",2000,4.99,4.798036331484106
"Botswa",2001,,3.9931393231094963
"Botswa",2002,,4.707716455661177
"Botswa",2003,,4.774560190688371
"Botswa",2004,,4.495217568370746
"Botswa",2005,,4.567591786429941
"Botswa",2006,,4.429733179261557
"Botswa",2007,3.92,4.204408064517449
"Botswa",2008,3.96,4.067816482351026
"Botswa",2009,,4.111627650087774
"Botswa",2010,,4.018079991436906
"Botswa",2011,,3.3707189611320674
"Botswa",2012,4.31,4.2262886662629
"Botswa",2013,,3.973023772168677
"Botswa",2014,,4.423300219765118
"Botswa",2015,,4.140561027470891
"Botswa",2016,,4.1718872952613815
"Botswa",2017,,4.091255083681321
"Burki Faso",1995,,1.8122200364355048
"Burki Faso",1996,,2.0380803478953697
"Burki Faso",1997,,1.9547083694801946
"Burki Faso",1998,,1.9012601536350648
"Burki Faso",1999,,1.850666460882835
"Burki Faso",2000,1.82,1.8594190411797897
"Burki Faso",2001,,2.1085797011972858
"Burki Faso",2002,,1.8125405934480847
"Burki Faso",2003,,1.7384137841780825
"Burki Faso",2004,,1.7462202073722204
"Burki Faso",2005,,1.6839893248511224
"Burki Faso",2006,,1.6913114018608661
"Burki Faso",2007,1.08,1.7769041274411697
"Burki Faso",2008,1.64,1.8237271831911683
"Burki Faso",2009,,1.9256601591886842
"Burki Faso",2010,,1.9099653602104616
"Burki Faso",2011,,1.9228357258373117
"Burki Faso",2012,1.91,1.8696551289016776
"Burki Faso",2013,,1.893610878604492
"Burki Faso",2014,,1.7766282916110963
"Burki Faso",2015,,1.795478201453213
"Burki Faso",2016,,1.8444471223859873
"Burki Faso",2017,,1.8551641147791202
"Burundi",1995,,1.944328716334127
"Burundi",1996,,1.3651206245928909
"Burundi",1997,,2.1832943157555897
"Burundi",1998,,1.7290136553807773
"Burundi",1999,,2.053184726859529
"Burundi",2000,,1.3947341848947792
"Burundi",2001,,2.017232662047838
"Burundi",2002,,1.1991144654794823
"Burundi",2003,,1.1845009350080091
"Burundi",2004,,1.1717820295953967
"Burundi",2005,,1.2331081445509549
"Burundi",2006,,1.411667202440949
"Burundi",2007,,1.4346398823465938
"Burundi",2008,,1.4738999924368859
"Burundi",2009,,1.4928383963615666
"Burundi",2010,,1.582232501731533
"Burundi",2011,,1.7664888764906075
"Burundi",2012,,1.7876197974679182
"Burundi",2013,,1.829207386615329
"Burundi",2014,,1.8342754860197878
"Burundi",2015,,1.8563666717365814
"Burundi",2016,,1.7781526033231922
"Burundi",2017,,1.8749061631584003
"Cabo Verde",1995,,2.7642415568573018
"Cabo Verde",1996,,3.507363322678643
"Cabo Verde",1997,,3.273814343421744
"Cabo Verde",1998,,4.657617706730509
"Cabo Verde",1999,,3.642883244886322
"Cabo Verde",2000,,4.795421530895458
"Cabo Verde",2001,,3.2413197293835925
"Cabo Verde",2002,,4.32590238553119
"Cabo Verde",2003,,4.368521724159371
"Cabo Verde",2004,,3.9258719613061404
"Cabo Verde",2005,,3.739379517168947
"Cabo Verde",2006,,4.273943649817406
"Cabo Verde",2007,,4.235907676136583
"Cabo Verde",2008,,4.371014557024315
"Cabo Verde",2009,,4.71565544460778
"Cabo Verde",2010,,4.783513482009464
"Cabo Verde",2011,,4.8933394741921505
"Cabo Verde",2012,,4.768325887203002
"Cabo Verde",2013,,4.654809244236947
"Cabo Verde",2014,,4.490158373331857
"Cabo Verde",2015,,4.306790723896883
"Cabo Verde",2016,,4.154284783089793
"Cabo Verde",2017,,4.215686868809182
"Cameroon",1995,,2.0031973307671445
"Cameroon",1996,,1.5322155233331776
"Cameroon",1997,,1.766129627309116
"Cameroon",1998,,1.6821706238061007
"Cameroon",1999,,2.30475474914581
"Cameroon",2000,2.17,1.7772212015127051
"Cameroon",2001,,2.585783614696573
"Cameroon",2002,,1.6137639782922255
"Cameroon",2003,,1.627659970485483
"Cameroon",2004,,1.5396233706989446
"Cameroon",2005,,1.4803038424014723
"Cameroon",2006,,1.4401346952308982
"Cameroon",2007,1.46,1.5970412887766825
"Cameroon",2008,1.69,1.6156262196257867
"Cameroon",2009,,1.6610574106431737
"Cameroon",2010,,1.8827156312090638
"Cameroon",2011,,1.7766038787883458
"Cameroon",2012,1.69,1.7572383145122163
"Cameroon",2013,,1.7966666663666033
"Cameroon",2014,,2.065319577531949
"Cameroon",2015,,2.047565064296724
"Cameroon",2016,,2.12186318314742
"Cameroon",2017,,2.2443804667743192
"Central African Republic",1995,,2.046805605981854
"Central African Republic",1996,,1.6451117494495122
"Central African Republic",1997,,1.9371084553866393
"Central African Republic",1998,,1.7335675511343926
"Central African Republic",1999,,1.5896791867012672
"Central African Republic",2000,,1.4401220151419056
"Central African Republic",2001,,1.6527725709111603
"Central African Republic",2002,,0.9324474333354704
"Central African Republic",2003,,0.8484455208566222
"Central African Republic",2004,,0.6840832862314676
"Central African Republic",2005,,0.8179315282312856
"Central African Republic",2006,,0.6409395427429274
"Central African Republic",2007,,0.7454425258089206
"Central African Republic",2008,,0.8149810875859851
"Central African Republic",2009,,0.6369002470085352
"Central African Republic",2010,,0.8734485374979601
"Central African Republic",2011,,0.736633271828739
"Central African Republic",2012,,0.6953466317177948
"Central African Republic",2013,,1.077070141355554
"Central African Republic",2014,,0.94671758515585
"Central African Republic",2015,,0.8218577667686495
"Central African Republic",2016,,0.4128050133302219
"Central African Republic",2017,,1.1369348104991555
"Chad",1995,,1.9329460737494135
"Chad",1996,,1.5192388821481146
"Chad",1997,,1.8957787299621724
